index,wine_name,wine_country,wine_region,wine_winery,wine_type,wine_grape,wine_image,body,texture,sweetness,acidity,flavor1,flavor2,flavor3
1808,Cuvée de L'Etoile Bordeaux Supérieur 2002,France,Bordeaux Supérieur,Château de Brague,Red wine,Blend,https://images.vivino.com/thumbs/RykDsAWoTUO1EPSddTJRqQ_pb_x600.png,73.0667,72.2194,정보 없음,70.5861,black fruit,earthy,oaky
1809,Lussac-Saint-Émilion 2012,France,Lussac-Saint-Émilion,Château Les Combes,Red wine,Blend,https://images.vivino.com/thumbs/6vcNy3EfQOCG7tQLJDRkTQ_150x200.jpg,79.331,63.5902,10.67386,62.6544,red fruit,black fruit,oaky
1810,Cabernet Sauvignon Golden Triangle 2003,South Africa,Stellenbosch,Stellenzicht,Red wine,Cabernet Sauvignon,https://images.vivino.com/thumbs/r1LyVu6CT4Cj34ZfldqPeg_pb_x600.png,84.9332,69.40690000000001,14.23301,66.11590000000001,oaky,black fruit,earthy
1811,MMV 2014,France,Minervois,Château de Paraza,Red wine,Blend,https://images.vivino.com/thumbs/dXvasy07RuaPk52yYSSTpQ_150x200.jpg,74.6924,62.5393,35.5118,59.0576,oaky,black fruit,dried fruit
1812,Primus Pinot Noir (Primum) 2004,Argentina,Tunuyán,Salentein,Red wine,Pinot Noir,https://images.vivino.com/thumbs/f99MYIdfQ46femJmHFZ-LA_pb_x600.png,52.5611,20.6375,23.8553,52.6173,oaky,red fruit,earthy
1813,Reserva Merlot (Classic) 2008,Chile,Colchagua Valley,Montes,Red wine,Merlot,https://images.vivino.com/thumbs/TV93szixTjW-n-p5aSveiQ_pb_x600.png,73.592,24.0304,22.8903,24.5029,oaky,black fruit,red fruit
1814,Château Margaux (Premier Grand Cru Classé) 1969,France,Margaux,Château Margaux,Red wine,Blend,https://images.vivino.com/thumbs/DygMHm5zSi2qXX6I0Hk90A_pb_x600.png,66.8281,70.55369999999999,15.21222,79.0102,earthy,oaky,black fruit
1815,Stonehorse Shiraz 2004,Australia,Barossa Valley,Kaesler,Red wine,Shiraz/Syrah,https://images.vivino.com/thumbs/1jY-zhnKT0GL0neomlgHGw_pb_x600.png,91.6117,51.777,29.3934,49.5063,black fruit,oaky,spices
1816,L'Être Magique Bordeaux 2015,France,Bordeaux,Maison de Grand Esprit,Red wine,Blend,https://images.vivino.com/thumbs/7fIQ7WfXRo-Vzo2xzLsruA_pb_x600.png,74.5382,66.73089999999999,7.784832,70.16550000000001,black fruit,earthy,oaky
1817,Chambolle-Musigny La Combe d'Orveau 2017,France,Chambolle-Musigny,Domaine Anne Gros,Red wine,Pinot Noir,https://images.vivino.com/thumbs/4aPLeNy3SEaPQc3ziTIq2g_pb_x600.png,43.0017,38.1525,19.5248,75.3549,red fruit,earthy,oaky
1818,Vosne-Romanée 2005,France,Vosne-Romanée,Méo-Camuzet,Red wine,Pinot Noir,https://images.vivino.com/thumbs/j27hhEeIRoGEXE60oNv05w_pb_x600.png,49.259,38.935500000000005,16.92447,76.2114,red fruit,earthy,oaky
1819,Les Forts de Latour Pauillac 1986,France,Pauillac,Château Latour,Red wine,Blend,https://images.vivino.com/thumbs/iPJbOceNQRKoP-yIA0dNJA_pb_x600.png,79.4019,77.1514,16.391,78.929,black fruit,oaky,earthy
1820,Echezeaux Grand Cru Les Loachausses 2017,France,Échezeaux Grand Cru,Domaine Anne Gros,Red wine,Pinot Nero,https://images.vivino.com/thumbs/vg6nqhX0RYu5iXRlN5M12A_pb_x600.png,48.1128,40.3633,16.555039999999998,75.799,red fruit,earthy,oaky
1821,Barbera d'Alba 2012,Italy,Barbera d'Alba,Bricco Maiolica,Red wine,Barbera,https://images.vivino.com/thumbs/tiA2_hjGRQGpt3_WeMEtFA_pb_x600.png,64.3284,30.4291,21.915300000000002,71.5967,black fruit,oaky,red fruit
1822,Barolo Cascina Nuova 2006,Italy,Barolo,Elvio Cogno,Red wine,Nebbiolo,https://images.vivino.com/thumbs/Lt4YWtKbTSq9nYZyYDhw5Q_pb_x600.png,69.4306,83.4486,12.70625,91.4513,earthy,red fruit,oaky
1823,Saint-Estèphe (Grand Cru Classé) 1986,France,Saint-Estèphe,Château Lafon-Rochet,Red wine,Blend,https://images.vivino.com/thumbs/e6-mvrRsRUmbJBro3h5FHA_pb_x600.png,81.4939,79.504,14.322980000000001,77.4365,black fruit,oaky,earthy
